127.0.0.1 - - [30/Aug/2016:16:08:41 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:09:55 +0800] "GET /MyTest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:09:55 +0800] "GET /MyTest/ HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:09:56 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:10:05 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:10:38 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:11:32 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:13:18 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:14:27 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:15:30 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:16:21 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:16:30 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:01 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:01 +0800] "GET /res/test.css HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:06 +0800] "GET /res/test.css HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:07 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:07 +0800] "GET /res/test.css HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:20 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:20 +0800] "GET /res/test.css HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:40 +0800] "GET /MyTest/NewFile.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [30/Aug/2016:16:21:40 +0800] "GET /MyTest/res/test.css HTTP/1.1" 200 34
